brand,name,price,processor,ram,ssd,hdd,display,os,rating
hp,HP Athlon Dual Core 3050U,26990,amd_athlon,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.0
lenovo,Lenovo Intel Core i3 11th Gen,38500,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
hp,HP Ryzen 5 Hexa Core 5500U,45909,amd_ryzen_5,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.2
asus,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,49990,amd_ryzen_5,0.14285714285714285,0.0625,0.5,0.1709401709401709,windows,4.4
hp,HP 15s Intel Core i3 11th Gen,40950,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
lenovo,Lenovo Intel Core i5 11th Gen,52890,intel_core_i5,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.5
asus,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,99990,amd_ryzen_7,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.4
asus,ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,59990,amd_ryzen_7,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.5
hp,HP 15s Intel Core i5 12th Gen,58018,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
lenovo,Lenovo IdeaPad 3 Core i3 11th Gen,38699,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
samsung,SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,32990,qualcomm_snapdragon,0.0,0.125,0.0,0.10256410256410253,windows,4.2
hp,HP Pavilion Ryzen 5 Hexa Core 5625U,53990,amd_ryzen_5,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.2
acer,acer Swift 3 Core i5 12th Gen,64990,intel_core_i5,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.5
lenovo,Lenovo IdeaPad 3 Core i5 11th Gen,52990,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
realme,realme Book (Slim) Core i3 11th Gen,46990,intel_core_i3,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.4
asus,ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i7 12th Gen,109990,intel_core_i7,0.42857142857142855,0.25,0.0,0.2435897435897436,windows,4.3
hp,HP Pavilion Intel Core i5 12th Gen,68114,intel_core_i5,0.42857142857142855,0.125,0.0,0.10256410256410253,windows,4.4
lenovo,Lenovo IdeaPad 3 Core i5 12th Gen,56049,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
asus,ASUS VivoBook 14 Pentium Silver,25990,intel_pentium,0.0,0.0625,0.0,0.10256410256410253,windows,4.1
acer,acer Extensa Core i3 11th Gen,33990,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
asus,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,38990,amd_ryzen_5,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.2
lenovo,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039,amd_ryzen_5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
dell,DELL Core i5 12th Gen,67990,intel_core_i5,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.5
asus,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,40990,intel_core_i3,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.3
realme,realme Book (Slim) Core i3 11th Gen,46990,intel_core_i3,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.4
lenovo,Lenovo Intel Core i3 11th Gen,38500,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
asus,ASUS Vivobook 15 Core i5 11th Gen,49990,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
apple,APPLE 2022 MacBook AIR M2,131990,apple_m2,0.14285714285714285,0.125,0.0,0.0854700854700855,mac,4.3
asus,ASUS Zenbook 14X (2022) Space Edition Core i9 12th Gen,159990,intel_core_i9,1.0,0.25,0.0,0.10256410256410253,windows,4.7
lenovo,Lenovo Intel Core i5 11th Gen,52890,intel_core_i5,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.5
msi,MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H,74990,amd_ryzen_7,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.5
asus,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,61990,amd_ryzen_7,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.4
asus,ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen,74990,intel_core_i5,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.3
lenovo,Lenovo IdeaPad 3 Core i3 11th Gen,38699,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
asus,ASUS Vivobook 14 (2022) Core i3 12th Gen,46990,intel_core_i3,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,5.0
dell,DELL Core i5 12th Gen,57990,intel_core_i5,0.14285714285714285,0.0625,0.5,0.1709401709401709,windows,3.8
acer,acer Aspire 7 Ryzen 5 Hexa Core AMD R5,51990,amd_ryzen_5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.4
lenovo,Lenovo IdeaPad 3 Core i5 11th Gen,52990,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
hp,HP Pavilion Core i7 12th Gen,89990,intel_core_i7,0.42857142857142855,0.25,0.0,0.10256410256410253,windows,4.3
